food_name,protein,carbs,fat,calories
apple butter,0.045,8.5,0.063,35
peanut butter,3.3,3.6,7.4,88
orange marmalade,0.014,13.3,0.0,49
chunky peanut butter,3.8,3.5,8.0,94
corn tamale,5.8,44.3,12.0,309
butter croissant,4.7,26.1,12.0,231
corn rice,1.8,25.2,0.3,110
kung pao chicken,59.0,41.5,42.2,779
crispy chicken sandwich,14.8,33.2,17.6,350
chicken egg roll,8.4,22.8,3.6,158
lemon chicken,68.6,122.0,74.9,1440
crab cake,11.3,5.1,10.4,160
buttermilk pancakes,2.6,10.9,3.5,86
spinach souffle,10.7,8.0,17.6,230
potato gratin,12.4,27.6,18.6,328
sweet sour chicken,1.8,4.4,2.3,46
blueberry pancakes,2.3,11.0,3.5,84
apple croissant,4.2,21.1,5.0,145
chicken sandwich,30.4,39.1,20.9,468
sweet gefilte fish,3.8,3.1,0.7,35
chicken pot pie,14.6,57.3,34.6,598
general tsos chicken,69.0,128.3,87.5,1578
chicken chow mein,40.8,50.1,16.9,513
caramel custard flan,13.9,69.7,12.3,444
chocolate milk dessert,5.9,51.6,1.4,229
chocolate mousse,6.2,24.1,24.0,338
apple crisp,4.9,87.0,9.7,454
chicken broth dry,0.7,1.1,0.2,10
fish stock,5.3,0.0,1.9,40
fish broth,4.9,1.0,1.5,39
cream of rice coup,2.2,28.1,0.2,127
chicken gravy,4.6,12.9,13.6,188
chicken bouillon dry,0.7,0.7,0.6,11
chicken broth,1.0,1.0,0.5,12
chicken stock,6.0,8.5,2.9,86
original chicken sandwich chick fil a,0.0,0.0,5.1,125
corn dog,6.7,21.0,9.4,195
steak sandwich,30.3,52.0,14.1,459
beef sandwich steak raw,9.2,0.0,15.1,173
hand breaded chicken tenders carls jr,0.0,0.2,2.9,57
pepperoni pizza,13.0,35.5,13.2,313
swordfish raw,26.7,0.0,9.0,196
jellyfish dried,3.2,0.0,0.8,21
fish sandwich,22.6,58.7,27.4,565
seatrout raw,39.8,0.0,8.6,248
pumpkin seed sunfish raw,9.3,0.0,0.3,43
wolffish raw,53.6,0.0,7.3,294
bluefish raw,30.1,0.0,6.4,186
chinook salmon raw,78.9,0.0,41.3,709
rockfish raw,35.1,0.0,2.6,172
tilefish raw,67.6,0.0,8.9,371
whitefish raw,37.8,0.0,11.6,265
salmon raw,80.9,0.0,53.1,824
chum salmon raw,0.6,0.0,0.1,3
butterfish raw,5.5,0.0,2.6,47
rainbow trout raw,15.8,0.0,4.9,111
monkfish raw,4.1,0.0,0.4,22
trout raw,16.4,0.0,5.2,117
dolphinfish raw,37.7,0.0,1.4,173
bluefin tuna raw,6.6,0.0,1.4,41
orange roughy raw,4.6,0.0,0.2,22
cuttlefish raw,4.6,0.2,0.2,22
milkfish raw,5.8,0.0,1.9,42
