food_name,protein,carbs,fat,calories
cream cheese,0.9,0.8,5.0,51
neufchatel cheese,7.8,3.1,19.4,215
requeijao cremoso light catupiry,0.8,0.9,3.6,49
ricotta cheese,1.5,1.5,2.0,30
cream cheese low fat,1.2,1.2,2.3,30
cream cheese fat free,2.8,1.4,0.2,19
gruyere cheese,8.3,0.1,9.1,116
cheddar cheese,6.4,0.9,9.3,113
parmesan cheese,6.4,0.6,4.5,71
romano cheese,1.6,0.2,1.3,19
parmesan cheese grated,1.4,0.7,1.4,21
port salut cheese,31.4,0.8,37.2,465
swiss cheese,6.7,0.4,7.7,98
goat cheese hard,8.6,0.6,10.1,128
gouda cheese,7.0,0.6,7.7,100
pepper jack cheese lucerne,5.0,0.0,6.0,75
caraway cheese,7.1,0.9,8.3,106
gjetost cheese,21.9,96.8,67.0,1058
tilsit cheese,9.8,0.8,10.4,136
goat cheese,6.1,0.009,8.4,103
brick cheese,7.0,0.8,8.9,111
asadero cheese,25.5,3.2,31.9,402
camembert cheese,5.9,0.1,7.3,90
provolone cheese reduced fat,27.9,4.0,19.9,310
roquefort cheese,18.3,1.7,26.0,314
queso blanco cheese,24.0,3.0,28.7,366
queso seco cheese,23.8,2.0,23.6,315
goat cheese soft,5.2,0.0,6.0,75
mozzarella cheese,6.7,0.7,6.6,90
chihuahua cheese,28.5,7.3,39.2,494
limburger cheese,6.0,0.1,8.2,98
muenster cheese,30.9,1.5,39.7,486
queso fresco cheese,22.1,3.6,29.1,365
brie cheese,6.2,0.1,8.3,100
pimento cheese,31.0,2.4,43.7,525
mexican cheese,27.7,3.8,21.7,316
feta cheese,4.3,1.2,6.4,80
mozzarella cheese fat free,35.8,4.0,0.0,159
provolone cheese,33.8,2.8,35.1,463
anejo cheese,28.3,6.1,39.6,492
honey,0.08,17.3,0.0,64
apple butter,0.045,8.5,0.063,35
fruit jam,0.0,13.8,0.095,56
chocolate hazelnut spread,1.0,11.5,5.5,100
peanut butter,3.3,3.6,7.4,88
peanut spread,3.8,2.2,8.5,101
chicken spread,10.1,2.3,9.8,88
cheese spread,17.0,8.4,68.6,708
tahini,2.7,3.9,7.2,86
orange marmalade,0.014,13.3,0.0,49
american cheese spread,2.6,1.4,3.4,46
apricot jam,0.1,12.9,0.01,48
chunky peanut butter,3.8,3.5,8.0,94
ham and cheese spread,2.4,0.3,2.8,37
chicken and rice casserole homade,2.0,2.4,1.0,27
